loops	prediction	trackerror	treesize	prunetreesize	prunetime	bestcost	time
1.0	0.0	0.0	966.0	0.0	3.2e-05	inf	1.0
2.0	0.0	9.9416866046467e-07	1239.0	927.0	0.000877	inf	2.0
3.0	0.5	0.09606950923017879	1618.0	8.0	0.000551	inf	3.0
4.0	0.1	0.14181386889685535	1545.0	12.0	0.000546	inf	4.0
5.0	0.2	0.19859942680651504	1462.0	12.0	0.000941	inf	5.0
6.0	0.1	0.17495639062469698	3174.0	11.0	0.00097	inf	6.0
7.0	0.1	0.05583648567990203	3914.0	10.0	0.001762	inf	7.0
8.0	0.1	0.06373483927932296	4684.0	9.0	0.002527	inf	8.0
9.0	0.1	0.04797407918329708	6964.0	8.0	0.002907	inf	9.0
10.0	0.2	0.10245238435702987	1637.0	7.0	0.002288	inf	10.0
11.0	0.2	0.06186417163122936	774.0	7.0	0.000788	inf	11.0
12.0	0.2	0.13373341295796584	883.0	8.0	0.000429	inf	12.0
13.0	0.5	0.1104337332068467	1092.0	8.0	0.000343	inf	13.0
14.0	0.2	0.07181949293497242	978.0	12.0	0.000569	inf	14.0
15.0	0.1	0.10944803918838306	1978.0	13.0	0.000647	inf	15.0
16.0	0.1	0.09518360031809317	3350.0	13.0	0.001092	inf	16.0
17.0	0.1	0.12216390527894419	4616.0	12.0	0.002201	inf	17.0
18.0	0.2	0.17949132242096325	5119.0	12.0	0.002773	inf	18.0
19.0	0.1	0.09128144148947612	5770.0	12.0	0.003327	inf	19.0
20.0	0.2	0.14082226193548814	6971.0	12.0	0.003517	inf	20.0
21.0	0.2	0.1914341178235905	5363.0	12.0	0.003398	inf	21.0
22.0	0.2	0.12630299844389842	6365.0	15.0	0.003353	inf	22.0
23.0	0.1	0.05900421124324788	6733.0	14.0	0.005083	inf	23.0
24.0	0.1	0.06319377759016086	5559.0	13.0	0.003473	inf	24.0
25.0	0.1	0.1686331821351259	6019.0	14.0	0.004555	inf	25.0
26.0	0.2	0.051673044515613296	6632.0	13.0	0.004639	inf	26.0
27.0	0.1	0.1605650392820999	7445.0	12.0	0.002854	inf	27.0
28.0	0.2	0.12340667735535947	7998.0	12.0	0.004474	inf	28.0
29.0	0.0	0.10953406835383103	9383.0	11.0	0.004335	inf	29.0
30.0	0.0	0.05339407644659019	10244.0	10.0	0.006977	inf	30.0
31.0	0.2	0.09731930003099165	9811.0	8.0	0.006394	inf	31.0
32.0	0.2	0.06855237347100362	10148.0	8.0	0.006462	inf	32.0
33.0	0.2	0.1573011031207424	10667.0	8.0	0.006834	inf	33.0
34.0	0.4	0.20927001889530691	5221.0	9.0	0.004773	inf	34.0
35.0	0.2	0.12694559655819085	6379.0	12.0	0.003468	inf	35.0
36.0	0.2	0.13469994193845802	6048.0	13.0	0.003571	inf	36.0
37.0	0.1	0.0647843065164802	6534.0	14.0	0.003673	inf	37.0
38.0	0.30000000000000004	0.21181971264082808	7047.0	12.0	0.00451	inf	38.0
39.0	0.0	0.07639426566244897	7511.0	14.0	0.0041	inf	39.0
40.0	0.2	0.16184088634742116	3568.0	13.0	0.002027	inf	40.0
41.0	0.1	0.24175802185416953	3823.0	13.0	0.002117	inf	41.0
42.0	0.1	0.1790132239904224	3750.0	12.0	0.002668	inf	42.0
43.0	0.1	0.20516016727960715	4620.0	12.0	0.002814	inf	43.0
44.0	0.1	0.16549347127748565	5040.0	12.0	0.001916	inf	44.0
45.0	0.1	0.05584939827001238	6692.0	12.0	0.00374	inf	45.0
46.0	0.2	0.06774068957692624	4578.0	12.0	0.004221	inf	46.0
47.0	0.1	0.1178429225760303	4753.0	12.0	0.002913	inf	47.0
48.0	0.2	0.1035161481877822	4718.0	12.0	0.003161	inf	48.0
49.0	0.1	0.058478921744861904	4751.0	13.0	0.002796	inf	49.0
50.0	0.1	0.14195583192927433	5278.0	12.0	0.003224	inf	50.0
51.0	0.2	0.17872443446124547	4156.0	11.0	0.001682	inf	51.0
52.0	0.1	0.057817492640334436	5077.0	11.0	0.004959	inf	52.0
53.0	0.2	0.07683551816230211	5704.0	10.0	0.003114	inf	53.0
54.0	0.1	0.05298680105378649	6978.0	8.0	0.003604	inf	54.0
55.0	0.2	0.15410595347018827	2695.0	7.0	0.002992	inf	55.0
56.0	0.1	0.05667835807140059	2936.0	6.0	0.001858	inf	56.0
57.0	1.0	1.4476829959665432	1329.0	2936.0	0.002715	inf	57.0
58.0	0.0	1.1117874018805913	1154.0	1329.0	0.000895	inf	58.0
59.0	0.0	0.779878438848408	1384.0	1106.0	0.001265	inf	59.0
60.0	0.4	0.2665198869945525	1309.0	9.0	0.000535	inf	60.0
61.0	0.1	0.1054679945215438	1871.0	12.0	0.00048	inf	61.0
62.0	0.1	0.20462456619508046	1671.0	12.0	0.000683	inf	62.0
63.0	0.2	0.1057431723030726	1694.0	12.0	0.000719	inf	63.0
64.0	0.1	0.09300405043753117	1561.0	12.0	0.000796	inf	64.0
65.0	0.1	0.16568902562195145	2236.0	12.0	0.000704	inf	65.0
66.0	0.2	0.20850592762853037	1453.0	12.0	0.000568	inf	66.0
67.0	0.1	0.11381454185240748	4990.0	12.0	0.00063	inf	67.0
68.0	0.30000000000000004	0.044694153067358966	3895.0	12.0	0.00107	inf	68.0
69.0	0.30000000000000004	0.13340643586743423	4194.0	12.0	0.001678	inf	69.0
70.0	0.30000000000000004	0.08708401680459575	4486.0	12.0	0.00259	inf	70.0
71.0	0.1	0.18986854612624407	1149.0	13.0	0.001621	inf	71.0
72.0	0.1	0.13029826882605045	2302.0	12.0	0.000832	inf	72.0
73.0	0.1	0.06081382427552999	4226.0	12.0	0.001428	inf	73.0
74.0	0.2	0.04762753692194331	1967.0	11.0	0.001566	inf	74.0
75.0	0.1	0.09131333397179002	3226.0	11.0	0.001108	inf	75.0
76.0	0.1	0.17623064466473756	5656.0	11.0	0.001879	inf	76.0
77.0	0.2	0.16453807720133765	2042.0	10.0	0.001565	inf	77.0
78.0	0.2	0.06716806800331131	1405.0	9.0	0.000563	inf	78.0
79.0	0.30000000000000004	0.1216642925826043	1876.0	9.0	0.000515	inf	79.0
80.0	0.4	0.17178574702656157	1429.0	10.0	0.000567	inf	80.0
81.0	0.1	0.05595517919666841	3440.0	9.0	0.00085	inf	81.0
82.0	0.2	0.10562881358613073	617.0	8.0	0.000955	inf	82.0
83.0	0.2	0.07442908231846702	777.0	12.0	0.00055	inf	83.0
84.0	0.2	0.03948841966786472	1079.0	12.0	0.000472	inf	84.0
85.0	0.2	0.14422466263028969	1582.0	12.0	0.000627	inf	85.0
86.0	0.30000000000000004	0.11859751945423275	503.0	12.0	0.000591	inf	86.0
87.0	0.0	0.04268419421389084	1107.0	11.0	0.000446	inf	87.0
88.0	0.2	0.13728605619095643	431.0	9.0	0.000478	inf	88.0
89.0	0.1	0.06577121206477869	925.0	8.0	0.000459	inf	89.0
90.0	0.1	0.1475615925962781	800.0	7.0	0.000646	inf	90.0
91.0	0.5	0.07147157236609923	468.0	7.0	0.000479	inf	91.0
92.0	0.2	0.057577451563586124	377.0	10.0	0.000424	inf	92.0
93.0	0.1	0.14043586191512195	657.0	10.0	0.000374	inf	93.0
94.0	0.2	0.1841424497716926	973.0	9.0	0.000573	27.414107487586683	94.0
95.0	0.1	0.13985370902997052	1445.0	8.0	0.000903	27.414107487586683	95.0
96.0	0.1	0.062299584887719195	2570.0	7.0	0.001057	27.414107487586683	96.0
97.0	0.2	0.13365819341606056	2444.0	6.0	0.001165	27.391592553060573	97.0
98.0	0.6000000000000001	0.09186601177736706	594.0	5.0	0.000736	27.391592553060573	98.0
99.0	0.7000000000000001	0.13085259923533363	548.0	6.0	0.000354	27.37639307593102	99.0
100.0	0.2	0.07711238373981529	351.0	10.0	0.000666	27.37639307593102	100.0
101.0	0.0	0.18314400894970745	559.0	10.0	0.000435	27.37639307593102	101.0
102.0	0.4	0.12281253520629208	915.0	9.0	0.000536	27.37639307593102	102.0
