loops	prediction	trackerror	treesize	prunetreesize
219.0	0.30000000000000004	0.11854208491207968	1646.0	11.0
220.0	0.2	0.06335395721555966	2449.0	11.0
221.0	0.1	0.0556430593138054	3142.0	10.0
222.0	0.1	0.11407536601393249	4037.0	10.0
223.0	0.1	0.25492772315282	4539.0	9.0
224.0	0.2	0.2528446403194881	5455.0	9.0
225.0	0.1	0.1385558995159322	6213.0	7.0
226.0	0.1	0.07321117775969109	6572.0	6.0
227.0	0.2	0.13907454450113513	6836.0	5.0
228.0	0.4	0.055282787776314964	7295.0	4.0
229.0	0.0	0.09195042616987743	655.0	7295.0
230.0	0.0	0.10751897579228901	1308.0	378.0
231.0	0.6000000000000001	0.1868218799945676	3241.0	7.0
232.0	0.1	0.05762254499927604	3954.0	5.0
233.0	0.2	0.14807889416984263	174.0	4.0
234.0	0.1	0.05380205584225738	906.0	6.0
235.0	0.2	0.0808153506258435	2544.0	6.0
236.0	0.5	0.1540878626274773	3177.0	5.0
237.0	0.4	0.19770429817151594	3708.0	3.0
238.0	0.0	0.10624251990420587	649.0	3708.0
239.0	0.0	0.07625449186373369	761.0	646.0
240.0	0.4	0.09705910753169698	1479.0	9.0
241.0	0.1	0.055666271434158206	2243.0	11.0
242.0	0.0	0.13850600334434168	587.0	11.0
243.0	0.1	0.17637340637254753	811.0	7.0
244.0	0.1	0.10830585277322152	1784.0	7.0
245.0	0.1	0.0970983470473309	2458.0	6.0
246.0	0.7	0.2149353703160369	3638.0	5.0
247.0	0.2	0.11847475180252093	4346.0	2.0
248.0	1.4	0.05281920420133419	729.0	4346.0
249.0	0.0	0.04423409961366536	1775.0	398.0
250.0	0.4	0.06199166338904045	1382.0	9.0
251.0	0.1	0.07997913563270935	222.0	10.0
252.0	0.1	0.16641681657978505	717.0	11.0
253.0	0.2	0.26456206675659594	48.0	10.0
254.0	0.1	0.19217550396952807	196.0	9.0
255.0	0.1	0.14328276706356838	523.0	9.0
256.0	0.1	0.10485565992655939	815.0	8.0
257.0	0.1	0.04488571740025822	2052.0	9.0
258.0	0.1	0.2020714046854336	428.0	8.0
259.0	0.5	0.10485865137440313	416.0	9.0
260.0	0.2	0.09835194487580123	1395.0	11.0
261.0	0.1	0.04486515419063362	4700.0	9.0
262.0	0.2	0.22979880679553033	5683.0	8.0
263.0	0.2	0.14816876825525488	6239.0	6.0
