loops	prediction	trackerror	treesize	prunetreesize	prunetime	bestcost	time
1.0	0.0	0.0	728.0	0.0	3.1e-05	inf	1.0
2.0	0.0	2.5312137087810606e-07	957.0	643.0	0.000872	inf	2.0
3.0	0.5	0.03636310743590008	1639.0	5.0	0.000674	inf	3.0
4.0	0.2	0.12482664359456766	1841.0	6.0	0.000716	inf	4.0
5.0	0.6000000000000001	0.061544404422055915	1157.0	6.0	0.000539	inf	5.0
6.0	0.2	0.06652242107059254	1282.0	11.0	0.000488	inf	6.0
7.0	0.2	0.2298923867044911	1265.0	12.0	0.000458	inf	7.0
8.0	0.1	0.1814593141856285	1158.0	12.0	0.000302	inf	8.0
9.0	0.1	0.10895731474045997	1431.0	12.0	0.000701	inf	9.0
10.0	0.1	0.06607660715140234	2502.0	12.0	0.00083	inf	10.0
11.0	0.1	0.07932780152498567	1954.0	12.0	0.000951	inf	11.0
12.0	0.2	0.19423297717586502	968.0	12.0	0.000612	inf	12.0
13.0	0.1	0.12449831380073109	1802.0	12.0	0.000662	inf	13.0
14.0	0.1	0.08920260180991027	1447.0	12.0	0.00067	inf	14.0
15.0	0.1	0.19463933938462058	2195.0	12.0	0.000882	inf	15.0
16.0	0.2	0.18767289742705967	1147.0	12.0	0.00081	inf	16.0
17.0	0.1	0.14066269640974294	1819.0	12.0	0.00075	inf	17.0
18.0	0.1	0.09385855067391483	2106.0	12.0	0.000993	inf	18.0
19.0	0.1	0.06720435531910272	2656.0	12.0	0.001234	inf	19.0
20.0	0.1	0.1207884673125778	2991.0	12.0	0.001551	inf	20.0
21.0	0.2	0.12391379655656251	3516.0	12.0	0.001587	inf	21.0
22.0	0.1	0.07836821400887153	4974.0	12.0	0.002561	inf	22.0
23.0	0.2	0.1381113283408131	6118.0	12.0	0.002939	inf	23.0
24.0	0.1	0.07840093359596313	7464.0	12.0	0.003892	inf	24.0
25.0	0.30000000000000004	0.1669155174090815	7891.0	12.0	0.004944	inf	25.0
26.0	0.30000000000000004	0.162786756667674	8399.0	12.0	0.005611	inf	26.0
27.0	0.1	0.06867730721338926	9348.0	12.0	0.005127	inf	27.0
28.0	0.1	0.07267767929493013	10602.0	11.0	0.006117	inf	28.0
29.0	0.2	0.062233403600448885	4844.0	12.0	0.005103	inf	29.0
30.0	0.1	0.0744258043891758	5794.0	12.0	0.003702	inf	30.0
31.0	0.1	0.1622254552000636	6696.0	12.0	0.003926	inf	31.0
32.0	0.2	0.15548667754783793	7073.0	12.0	0.005334	inf	32.0
33.0	0.1	0.0568950449507453	8129.0	12.0	0.00509	inf	33.0
34.0	0.30000000000000004	0.16119461199762827	8788.0	12.0	0.006157	inf	34.0
35.0	0.0	0.21462325679212793	9272.0	13.0	0.005695	inf	35.0
36.0	0.2	0.13322088394176626	9785.0	12.0	0.007726	inf	36.0
37.0	0.1	0.05093555765047382	10043.0	12.0	0.008182	inf	37.0
38.0	0.1	0.11185048717496224	10532.0	12.0	0.008088	inf	38.0
