loops	prediction	trackerror	treesize	prunetreesize	prunetime	bestcost	time
1.0	0.0	0.0	1173.0	0.0	4.3e-05	inf	1.0
2.0	0.0	2.6762017925504027e-07	1024.0	1155.0	0.001103	inf	2.0
3.0	0.4	0.03569718755370689	1265.0	9.0	0.000508	inf	3.0
4.0	0.2	0.08760358227786762	944.0	12.0	0.000574	inf	4.0
5.0	0.1	0.1089377982934103	2190.0	12.0	0.000654	inf	5.0
6.0	0.1	0.17465798187786485	2717.0	12.0	0.000998	inf	6.0
7.0	0.2	0.1213102930544147	3272.0	12.0	0.002014	inf	7.0
8.0	0.1	0.21974761439914958	4218.0	11.0	0.002618	inf	8.0
9.0	0.2	0.24712927295403941	3687.0	10.0	0.00209	inf	9.0
10.0	0.1	0.06890869233840316	5011.0	9.0	0.002508	inf	10.0
11.0	0.1	0.06632765475415116	7131.0	8.0	0.003138	inf	11.0
12.0	0.2	0.08251135362901978	5213.0	7.0	0.003795	inf	12.0
13.0	0.30000000000000004	0.08717166620405825	1734.0	6.0	0.002133	inf	13.0
14.0	0.6000000000000001	0.2437668562088718	1383.0	8.0	0.000464	inf	14.0
15.0	0.1	0.08945194293114929	2000.0	12.0	0.000689	inf	15.0
16.0	0.1	0.15544317597835106	3595.0	12.0	0.0013	inf	16.0
17.0	0.2	0.11993856088133872	2705.0	11.0	0.001662	inf	17.0
18.0	0.1	0.07014255996331273	3338.0	11.0	0.001582	inf	18.0
19.0	0.1	0.14262330474281298	4127.0	11.0	0.002272	inf	19.0
20.0	0.2	0.18693460579075208	7160.0	11.0	0.002271	inf	20.0
21.0	0.5	0.06944742799219844	8093.0	11.0	0.004453	inf	21.0
22.0	0.2	0.12265880801133905	8620.0	12.0	0.005954	inf	22.0
23.0	0.1	0.05984092710449666	9096.0	12.0	0.00368	inf	23.0
24.0	0.1	0.09317878086076826	9321.0	12.0	0.00409	inf	24.0
25.0	0.1	0.1501320195647559	10278.0	12.0	0.004734	inf	25.0
26.0	0.2	0.16243536896318111	10724.0	12.0	0.005839	inf	26.0
27.0	0.1	0.07997805868610353	11297.0	11.0	0.011981	inf	27.0
28.0	0.1	0.06042173190263944	10953.0	10.0	0.005826	inf	28.0
29.0	0.1	0.154958412316426	10586.0	12.0	0.008995	inf	29.0
30.0	0.2	0.17129825761065282	11465.0	12.0	0.007263	inf	30.0
31.0	0.2	0.11052812614219737	12590.0	11.0	0.009851	inf	31.0
32.0	0.30000000000000004	0.15708913825760612	13496.0	11.0	0.010382	inf	32.0
33.0	0.2	0.05250228104760199	13567.0	13.0	0.010174	inf	33.0
34.0	0.0	0.17727691619576225	13688.0	14.0	0.010474	inf	34.0
35.0	0.2	0.2109141178396101	11192.0	12.0	0.007184	inf	35.0
